Reference;Planet name;Column 3
6612;Hachioji;Hachioji
8929;Haginoshinji;Haginoshinji
52308;Hanspeterroser;"Hanspeterr&#246;ser"
4640;Hara;Hara
11282;Hanakusa;Hanakusa
2166;Handahl;Handahl
11129;Hayachine;Hayachine
2483;Guinevere;Guinevere
4571;Grumiaux;Grumiaux
10221;Kubrick;Kubrick
235990;Laennec;Laennec
11167;Kunzak;"Kun&#382;ak"
12493;Minkowski;Minkowski
22589;Minor;Minor
2602;Moore;Moore
4197;Morpheus;Morpheus
1034;Mozartia;Mozartia
18240;Mould;Mould
1549;Mikko;Mikko
3051;Nantong;Nantong
9240;Nassau;Nassau
31402;Negishi;Negishi
4439;Muroto;Muroto
17090;Mundaca;Mundaca
2935;Naerum;Naerum
210290;Borsellino;Borsellino
7649;Bougainville;Bougainville
25230;Borgis;Borgis
19619;Bethbell;Bethbell
8523;Bouillabaisse;Bouillabaisse
6207;Bourvil;Bourvil
216390;Binnig;Binnig
4324;Bickel;Bickel
13841;Blankenship;Blankenship
126315;Blathy;"Bl&#225;thy"
10442;Biezenzo;Biezenzo
269485;Bisikalo;Bisikalo
6528;Boden;Boden
5642;Bobbywilliams;Bobbywilliams
16887;Blouke;Blouke
420;Bertholda;Bertholda
3372;Bratijchuk;Bratijchuk
293;Brasilia;Brasilia
18119;Braude;Braude
18773;Bredehoft;Bredehoft
8458;Georgekoenig;Georgekoenig
1433;Geramtina;Geramtina
241;Germania;Germania
6079;Gerokurat;Gerokurat
315046;Gianniferrari;Gianniferrari
6920;Esaki;Esaki
3512;Eriepa;Eriepa
1509;Esclangona;Esclangona
31312;Fangerhai;Fangerhai
25043;Fangxing;Fangxing
331;Etheridgea;Etheridgea
4554;Fanynka;Fanynka
866;Fatme;Fatme
274810;Fedaksari;"Fed&#225;ks&#225;ri"
25488;Figueiredo;Figueiredo
380;Fiducia;Fiducia
217;Eudora;Eudora
12350;Feuchtwanger;Feuchtwanger
795;Fini;Fini
8580;Pinsky;Pinsky
20963;Pisarenko;Pisarenko
9056;Piskunov;Piskunov
30414;Pistacchi;Pistacchi
11808;Platz;Platz
10205;Pokorny;"Pokorn&#253;"
29647;Poncelet;Poncelet
1305;Pongola;Pongola
4071;Rostovdon;Rostovdon
40230;Rozmberk;"Ro&#382;mberk"
29631;Ryankenny;Ryankenny
209107;Safranek;"&#352;afr&#225;nek"
48159;Saint-Veran;"Saint-V&#233;ran"
22456;Salopek;Salopek
11337;Sandro;Sandro
7794;Sanvito;Sanvito
24208;Stelguerrero;Stelguerrero
32060;Wyattpontius;Wyattpontius
4260;Yanai;Yanai
25100;Zhaiweichao;Zhaiweichao
117240;Zhytomyr;Zhytomyr
18292;Zoltowski;Zoltowski
166614;Zsazsa;Zsazsa
11243;de;Graauw
22788;von;Steuben
874;Rotraut;Rotraut
251595;Rudolfbottger;"Rudolfb&#246;ttger"
232;Russia;Russia
58595;Joepollock;Joepollock
5772;Johnlambert;Johnlambert
14119;Johnprince;Johnprince
31982;Johnwallis;Johnwallis
129324;Johnweirich;Johnweirich
24441;Jopek;Jopek
649;Josefa;Josefa
22666;Josephchurch;Josephchurch
20211;Joycegates;Joycegates
17611;Jozkakubik;"Jo&#382;kakub&#237;k"
948;Jucunda;Jucunda
11518;Jung;Jung
7739;Cech;"&#268;ech"
133528;Ceragioli;Ceragioli
3782;Celle;Celle
30161;Chrepta;Chrepta
29609;Claudiahuang;Claudiahuang
504;Cora;Cora
48960;Clouet;Clouet
10677;Colucci;Colucci
2939;Coconino;Coconino
3177;Chillicothe;Chillicothe
273994;Cinqueterre;Cinqueterre
2389;Dibaj;Dibaj
15321;Donnadean;Donnadean
668;Dora;Dora
28722;Dhruviyer;Dhruviyer
32052;Diyamathur;Diyamathur
8217;Dominikhasek;"Dominikha&#353;ek"
196938;Delgordon;Delgordon
12494;Doughamilton;Doughamilton
19119;Dimpna;Dimpna
48415;Dehio;Dehio
9044;Kaoru;Kaoru
287787;Karady;"Kar&#225;dy"
2807;Karl;Marx
1828;Kashirina;Kashirina
32145;Katberman;Katberman
37720;Kawanishi;Kawanishi
4421;Kayor;Kayor
5811;Keck;Keck
4477;Kelley;Kelley
133074;Kenshamordola;Kenshamordola
318694;Keszthelyi;Keszthelyi
325436;Khlebov;Khlebov
19589;Kirkland;Kirkland
11868;Kleinrichert;Kleinrichert
9578;Klyazma;Klyazma
75063;Koestler;Koestler
284891;Kona;Kona
11254;Konkohekisui;Konkohekisui
10215;Lavilledemirmont;Lavilledemirmont
5076;Lebedev-Kumach;Lebedev-Kumach
30166;Leodeng;Leodeng
68;Leto;Leto
9885;Linux;Linux
181136;Losonczrita;Losonczrita
9694;Lycomedes;Lycomedes
10373;MacRobert;MacRobert
33343;Madorobin;Madorobin
6573;Magnitskij;Magnitskij
5466;Makibi;Makibi
26937;Makimiyamoto;Makimiyamoto
10541;Malesherbes;Malesherbes
6698;Malhotra;Malhotra
8966;Hortulana;Hortulana
120569;Huangrunqian;Huangrunqian
169834;Hujie;Hujie
2070;Humason;Humason
1840;Hus;Hus
430;Hybris;Hybris
4652;Iannini;Iannini
33520;Ichige;Ichige
286;Iclea;Iclea
30308;Ienli;Ienli
3562;Ignatius;Ignatius
8272;Iitatemura;Iitatemura
3750;Ilizarov;Ilizarov
3849;Incidentia;Incidentia
12311;Ingemyr;Ingemyr
1479;Inkeri;Inkeri
6749;Ireentje;Ireentje
5029;Ireland;Ireland
18180;Irenesun;Irenesun
33501;Juliethompson;Juliethompson
16007;Kaasalainen;Kaasalainen
11121;Malpighi;Malpighi
6918;Manaslu;Manaslu
162166;Mantsch;Mantsch
29353;Manu;Manu
186411;Margaretsimon;Margaretsimon
1175;Margo;Margo
57471;Mariemarsina;Mariemarsina
7972;Mariotti;Mariotti
129332;Markhunten;Markhunten
167748;Markkelly;Markkelly
5359;Markzakharov;Markzakharov
28824;Marlablair;Marlablair
10264;Marov;Marov
32279;Marshall;Marshall
7614;Masatomi;Masatomi
21219;Mascagni;Mascagni
10276;Matney;Matney
2295;Matusovskij;Matusovskij
163625;Munn;Munn
30183;Murali;Murali
6538;Muraviov;Muraviov
9829;Murillo;Murillo
7837;Mutsumi;Mutsumi
9203;Myrtus;Myrtus
100483;NAOJ;NAOJ
8702;Nakanishi;Nakanishi
3320;Namba;Namba
4222;Nancita;Nancita
44263;Nansouty;Nansouty
21577;Negron;Negron
33454;Neilclaffey;Neilclaffey
659;Nestor;Nestor
6351;Neumann;Neumann
8895;Nha;Nha
22639;Nickanthony;Nickanthony
12172;Niekdekort;Niekdekort
9246;Niemeyer;Niemeyer
7014;Nietzsche;Nietzsche
2972;Niilo;Niilo
24950;Nikhilas;Nikhilas
14349;Nikitamikhalkov;Nikitamikhalkov
21856;Heathermaria;Heathermaria
271763;Hebrewu;Hebrewu
5837;Hedin;Hedin
6338;Isaosato;Isaosato
10509;Heinrichkayser;Heinrichkayser
25553;Ivanlafer;Ivanlafer
8332;Ivantsvetaev;Ivantsvetaev
2085;Henan;Henan
2005;Hencke;Hencke
72059;Heojun;Heojun
19643;Jacobrucker;Jacobrucker
29607;Jakehecla;Jakehecla
15971;Hestroffer;Hestroffer
12176;Hidayat;Hidayat
2028;Janequeo;Janequeo
212606;Janulis;Janulis
11933;Himuka;Himuka
33538;Jaredbergen;Jaredbergen
5812;Jayewinkler;Jayewinkler
8057;Hofmannsthal;Hofmannsthal
13115;Jeangodin;Jeangodin
872;Holda;Holda
112656;Gines;Gines
275264;Krisztike;Krisztike
5247;Krylov;Krylov
3329;Golay;Golay
25628;Kummer;Kummer
9027;Graps;Graps
30798;Graubunden;"Graub&#252;nden"
3148;Grechko;Grechko
5218;Kutsak;Kutsak
31500;Grutzik;Grutzik
10694;Lacerda;Lacerda
39748;Guccini;Guccini
1960;Guisan;Guisan
14274;Landstreet;Landstreet
10126;Larbro;"L&#228;rbro"
12323;Haeckel;Haeckel
3024;Hainan;Hainan
160215;Haines-Stiles;Haines-Stiles
8187;Akiramisawa;Akiramisawa
238710;Halassy;Halassy
15736;Hamanasu;Hamanasu
16518;Akihikoito;Akihikoito
11104;Airion;Airion
9408;Haseakira;Haseakira
3023;Heard;Heard
2395;Aho;Aho
21758;Adrianveres;Adrianveres
21029;Adorno;Adorno
8286;Kouji;Kouji
17002;Kouzel;Kouzel
4944;Kozlovskij;Kozlovskij
17073;Alexblank;Alexblank
27918;Azusagawa;Azusagawa
333;Badenia;Badenia
15845;Bambi;Bambi
28483;Allenyuan;Allenyuan
17062;Bardot;Bardot
134040;Beaubierhaus;Beaubierhaus
30068;Frankmelillo;Frankmelillo
261291;Fucecchio;Fucecchio
8695;Bergvall;Bergvall
296577;Arkhangelsk;Arkhangelsk
5712;Funke;Funke
77560;Furusato;Furusato
;"name=""G"">";-14789
22378;Gaherty;Gaherty
11740;Georgesmith;Georgesmith
292872;Anoushankar;Anoushankar
111561;Giovanniallevi;Giovanniallevi
3909;Gladys;Gladys
3267;Glo;Glo
12715;Godin;Godin
12223;Hoskin;Hoskin
15628;Gonzales;Gonzales
12911;Goodhue;Goodhue
24862;Hromec;Hromec
17198;Gorjup;Gorjup
5075;Goryachev;Goryachev
23777;Goursat;Goursat
88297;Huikilolani;Huikilolani
12050;Humecronyn;Humecronyn
6231;Hundertwasser;Hundertwasser
19788;Hunker;Hunker
5308;Hutchison;Hutchison
14605;Hyeyeonchoi;Hyeyeonchoi
238;Hypatia;Hypatia
3657;Ermolova;Ermolova
51828;Ilanramon;Ilanramon
2968;Iliya;Iliya
11697;Estrella;Estrella
8271;Imai;Imai
2002;Euler;Euler
173;Ino;Ino
32270;Inokuchihiroo;Inokuchihiroo
33002;Everest;Everest
8891;Irokawa;Irokawa
5229;Irurita;Irurita
1649;Fabre;Fabre
48480;Falk;Falk
9971;Ishihara;Ishihara
2583;Fatyanov;Fatyanov
5737;Itoh;Itoh
12817;Federica;Federica
3658;Feldman;Feldman
10304;Iwaki;Iwaki
29736;Fichtelberg;Fichtelberg
10891;Fink;Fink
1794;Finsen;Finsen
4985;Fitzsimmons;Fitzsimmons
19630;Janebell;Janebell
14065;Flegel;Flegel
94556;Janstary;"Janstar&#253;"
9531;Jean-Luc;Jean-Luc
320942;Jeanette-Jesse;Jeanette-Jesse
20741;Jeanmichelreess;Jeanmichelreess
26661;Kempelen;Kempelen
11789;Kempowski;Kempowski
18404;Kenichi;Kenichi
3714;Kenrussell;Kenrussell
31630;Jennywang;Jennywang
200025;Cloud;Gate
92213;Kalina;Kalina
16958;Klaasen;Klaasen
12153;Conon;Conon
98722;Elenaumberto;Elenaumberto
52500;Kanata;Kanata
159743;Kluk;Kluk
11842;Kap'bos;Kap'bos
5118;Elnapoul;Elnapoul
101383;Karloff;Karloff
22528;Elysehope;Elysehope
5281;Lindstrom;Lindstrom
4743;Kikuchi;Kikuchi
25075;Kiyomoto;Kiyomoto
25875;Wickramasekara;Wickramasekara
6032;Nobel;Nobel
129962;Williamverts;Williamverts
4840;Otaynang;Otaynang
9844;Otani;Otani
9152;Combe;Combe
4233;Pal'chikov;Pal'chikov
411;Xanthe;Xanthe
92685;Cordellorenz;Cordellorenz
19175;Peterpiot;Peterpiot
18910;Nolanreis;Nolanreis
353232;Nolwenn;Nolwenn
10822;Yasunori;Yasunori
5053;Chladni;Chladni
4072;Yayoi;Yayoi
5291;Yuuko;Yuuko
6009;Yuzuruyoshii;Yuzuruyoshii
217420;Olevsk;Olevsk
13033;Gardon;Gardon
5162;Piemonte;Piemonte
72596;Zilkha;Zilkha
1071;Brita;Brita
14092;Gaily;Gaily
281564;Fuhsiehhai;Fuhsiehhai
14961;d'Auteroche;d'Auteroche
11524;Pleyel;Pleyel
9094;Butsuen;Butsuen
9816;von;Matt
33397;Prathiknaidu;Prathiknaidu
28714;Gandall;Gandall
4772;Frankdrake;Frankdrake
296928;Francescopalla;Francescopalla
30123;Scottrippeon;Scottrippeon
4170;Semmelweis;Semmelweis
211381;Garretzuppiger;Garretzuppiger
28715;Garimella;Garimella
11299;Annafreud;Annafreud
16073;Gaskin;Gaskin
294595;Shingareva;Shingareva
47086;Shinseiko;Shinseiko
6337;Shiota;Shiota
14088;Ancus;Ancus
27580;Angelataylor;Angelataylor
7801;Goretti;Goretti
1188;Gothlandia;Gothlandia
12599;Singhal;Singhal
23310;Siriwon;Siriwon
20205;Sitanchen;Sitanchen
3358;Anikushin;Anikushin
107074;Ansonsylva;Ansonsylva
33492;Christirogers;Christirogers
183114;Vicques;Vicques
307;Nike;Nike
17518;Redqueen;Redqueen
33979;Sunhaochun;Sunhaochun
8443;Svecica;Svecica
14074;Riccati;Riccati
129149;Richwitherspoon;Richwitherspoon
4036;Whitehouse;Whitehouse
29845;Wykrota;Wykrota
1436;Salonta;Salonta
33345;Nataliedessay;Nataliedessay
27421;Nathanhan;Nathanhan
10061;Ndolaprata;Ndolaprata
8781;Yurka;Yurka
158241;Yutonagatomo;Yutonagatomo
21929;Nileshraval;Nileshraval
58709;Zenocolo;"Zenocol&#242;"
12923;Zephyr;Zephyr
1802;Zhang;Heng
210232;Zhangjinqiu;Zhangjinqiu
2903;Zhuhai;Zhuhai
28126;Nydegger;Nydegger
5067;Occidental;Occidental
26998;Iriso;Iriso
2585;Irpedina;Irpedina
31697;Isaiahoneal;Isaiahoneal
111696;Helenorman;Helenorman
532;Herculina;Herculina
69;Hesperia;Hesperia
95853;Jamescarpenter;Jamescarpenter
7796;Jaracimrman;"J&#225;racimrman"
33626;Jasonsmith;Jasonsmith
9191;Hokuto;Hokuto
94400;Hongdaeyong;Hongdaeyong
30051;Jihopark;Jihopark
1812;Gilgamesh;Gilgamesh
8268;Goerdeler;Goerdeler
7161;Golitsyn;Golitsyn
13752;Grantstokes;Grantstokes
424;Gratia;Gratia
2049;Grietje;Grietje
14244;Labnow;Labnow
22621;Larrybartel;Larrybartel
24156;Hamsasridhar;Hamsasridhar
10582;Harumi;Harumi
2436;Hatshepsut;Hatshepsut
346261;Alexandrescu;Alexandrescu
3019;Kulin;Kulin
22899;Alconrad;Alconrad
26332;Alyssehrlich;Alyssehrlich
8347;Lallaward;Lallaward
6289;Lanusei;Lanusei
6066;Hendricks;Hendricks
34101;Hesrivastava;Hesrivastava
170012;Anithakar;Anithakar
153301;Alissamearle;Alissamearle
21336;Andyblanchard;Andyblanchard
10978;Barbchen;"B&#228;rbchen"
19727;Allen;Allen
5198;Fongyunwah;Fongyunwah
22148;Francislee;Francislee
1925;Franklin-Adams;Franklin-Adams
70179;Beppechiara;Beppechiara
3704;Gaoshiqi;Gaoshiqi
34154;Anushkanair;Anushkanair
1912;Anubis;Anubis
4232;Aparicio;Aparicio
1863;Antinous;Antinous
11703;Glassman;Glassman
29995;Arshavsky;Arshavsky
16444;Godefroy;Godefroy
16452;Goldfinger;Goldfinger
260;Huberta;Huberta
33573;Hugrace;Hugrace
4885;Grange;Grange
7528;Huskvarna;Huskvarna
587;Hypsipyle;Hypsipyle
98;Ianthe;Ianthe
5696;Ibsen;Ibsen
17098;Ikedamai;Ikedamai
17509;Ikumadan;Ikumadan
34993;Euaimon;Euaimon
29806;Eviesobczak;Eviesobczak
6640;Falorni;Falorni
10988;Feinstein;Feinstein
25913;Jamesgreen;Jamesgreen
281068;Chipolin;Chipolin
2178;Kazakhstania;Kazakhstania
25014;Christinepalau;Christinepalau
1934;Jeffers;Jeffers
221149;Cindyfoote;Cindyfoote
10861;Ciske;Ciske
1919;Clemence;Clemence
161975;Kincsem;Kincsem
12188;Kalaallitnunaat;Kalaallitnunaat
3588;Kirik;Kirik
314163;Kittenberger;Kittenberger
19914;Klagenfurt;Klagenfurt
182;Elsa;Elsa
5206;Kodomonomori;Kodomonomori
24533;Kokhirova;Kokhirova
5391;Emmons;Emmons
49350;Katheynix;Katheynix
3754;Kathleen;Kathleen
13686;Kongozan;Kongozan
3838;Epona;Epona
6068;Brandenburg;Brandenburg
46514;Lasswitz;Lasswitz
236728;Leandri;Leandri
3439;Lebofsky;Lebofsky
20632;Carlyrosser;Carlyrosser
4079;Britten;Britten
17917;Cartan;Cartan
79117;Brydonejack;Brydonejack
18079;Lion-Stoppato;Lion-Stoppato
12579;Ceva;Ceva
33514;Changpeihsuan;Changpeihsuan
8298;Loubna;Loubna
12701;Chenier;"Ch&#233;nier"
19873;Chentao;Chentao
28048;Camilleyoke;Camilleyoke
27387;Chhabra;Chhabra
14309;Defoy;Defoy
13962;Delambre;Delambre
21408;Lyrahaas;Lyrahaas
6894;Macreid;Macreid
36472;Ebina;Ebina
4766;Malin;Malin
1748;Mauderli;Mauderli
22370;Italocalvino;Italocalvino
134348;Klemperer;Klemperer
3903;Kliment;Ohridski
17993;Kluesing;Kluesing
4883;Korolirina;Korolirina
1631;Kopff;Kopff
39741;Komm;Komm
27899;Letterman;Letterman
3510;Veeder;Veeder
24524;Kevinhawkins;Kevinhawkins
4740;Veniamina;Veniamina
12630;Verstappen;Verstappen
1859;Kovalevskaya;Kovalevskaya
214911;Viehboeck;Viehboeck
2796;Kron;Kron
154991;Vinciguerra;Vinciguerra
23190;Klages-Mundt;Klages-Mundt
73638;Likhanov;Likhanov
30253;Vitek;"V&#237;tek"
5326;Vittoriosacco;Vittoriosacco
5955;Khromchenko;Khromchenko
30177;Khashayar;Khashayar
61400;Voxandreae;Voxandreae
195405;Lentyler;Lentyler
6208;Wakata;Wakata
3734;Waland;Waland
2641;Lipschutz;Lipschutz
4375;Kiyomori;Kiyomori
11425;Wearydunlop;Wearydunlop
3899;Wichterle;Wichterle
7170;Livesey;Livesey
269762;Nocentini;Nocentini
117506;Wildberg;Wildberg
6613;Williamcarl;Williamcarl
34188;Clarawagner;Clarawagner
11311;Peleus;Peleus
16406;Oszkiewicz;Oszkiewicz
109330;Clemente;Clemente
3825;Nurnberg;"N&#252;rnberg"
15492;Nyberg;Nyberg
18101;Coustenis;Coustenis
8238;Courbet;Courbet
207695;Olgakopyl;Olgakopyl
175411;Yilan;Yilan
10547;Yosakoi;Yosakoi
5172;Yoshiyuki;Yoshiyuki
10953;Gerdatschira;Gerdatschira
30054;Pereira;Pereira
212373;Pietrocascella;Pietrocascella
10138;Ohtanihiroshi;Ohtanihiroshi
65696;Pierrehenry;Pierrehenry
10689;Pinillaalonso;Pinillaalonso
2606;Odessa;Odessa
3501;Olegiya;Olegiya
257515;Zapperudi;Zapperudi
2438;Oleshko;Oleshko
79864;Pirituba;Pirituba
38246;Palupin;"Palup&#237;n"
22913;Brockman;Brockman
19456;Pimdouglas;Pimdouglas
17649;Brunorossi;Brunorossi
14911;Fukamatsu;Fukamatsu
27108;Bryanhe;Bryanhe
154714;de;Schepper
9965;GNU;GNU
121022;Galliano;Galliano
336204;Sardinas;Sardinas
7869;Pradun;Pradun
10567;Francobressan;Francobressan
35165;Quebec;"Qu&#233;bec"
66846;Franklederer;Franklederer
21694;Allisowilson;Allisowilson
20834;Allihewlett;Allihewlett
256796;Almanzor;Almanzor
113952;Schramm;Schramm
19290;Schroeder;Schroeder
3625;Fracastoro;Fracastoro
21684;Alinafiocca;Alinafiocca
4546;Franck;Franck
58573;Serpieri;Serpieri
5551;Glikson;Glikson
6996;Alvensleben;Alvensleben
21924;Alyssaovaitt;Alyssaovaitt
5953;Shelton;Shelton
117736;Sherrod;Sherrod
8822;Shuryanka;Shuryanka
32891;Amatrice;Amatrice
6277;Siok;Siok
25455;Anissamak;Anissamak
129078;Animoo;Animoo
21562;Chrismessick;Chrismessick
26689;Smorrison;Smorrison
7262;Sofue;Sofue
4091;Lowe;Lowe
30012;Sohamdaga;Sohamdaga
117086;Loczy;"L&#243;czy"
30298;Somyakhare;Somyakhare
4039;Souseki;Souseki
13389;Stacey;Stacey
12777;Manuel;Manuel
310;Margarita;Margarita
18120;Lytvynenko;Lytvynenko
32631;Majzoub;Majzoub
19598;Luttrell;Luttrell
249520;Luppino;Luppino
5430;Luu;Luu
239105;Marcocattaneo;Marcocattaneo
10007;Malytheatre;Malytheatre
9879;Mammuthus;Mammuthus
27596;Maldives;Maldives
13424;Margalida;Margalida
29346;Mariadina;Mariadina
17961;Mariagorodnitsky;Mariagorodnitsky
22877;Reginamiller;Reginamiller
14401;Reikoyukawa;Reikoyukawa
528;Rezia;Rezia
3338;Richter;Richter
3972;Richard;Richard
11455;Richardstarr;Richardstarr
7661;Reincken;Reincken
25139;Roatsch;Roatsch
228133;Ripoll;Ripoll
30430;Robertoegel;Robertoegel
31893;Rodriguezalvarez;Rodriguezalvarez
3741;Rogerburns;Rogerburns
31466;Abualhassan;Abualhassan
23306;Adamfields;Adamfields
6461;Adam;Adam
18084;Adamwohl;Adamwohl
15420;Aedouglass;Aedouglass
96;Aegle;Aegle
17984;Ahantonioli;Ahantonioli
263516;Alexescu;Alexescu
13624;Abeosamu;Abeosamu
78309;Alessielisa;Alessielisa
14832;Alechinsky;Alechinsky
23727;Akihasan;Akihasan
5101;Akhmerov;Akhmerov
19197;Akasaki;Akasaki
28832;Akana;Akana
7903;Albinoni;Albinoni
2697;Albina;Albina
1375;Alfreda;Alfreda
1394;Algoa;Algoa
25915;Charlesmcguire;Charlesmcguire
202819;Carlosanchez;Carlosanchez
14571;Caralexander;Caralexander
109;Felicitas;Felicitas
21276;Feller;Feller
7055;Fabiopagan;Fabiopagan
21495;Feaga;Feaga
4820;Fay;Fay
751;Faina;"Fa&#239;na"
32057;Ethannovek;Ethannovek
14632;Flensburg;Flensburg
7156;Flaviofusipecci;Flaviofusipecci
8667;Fontane;Fontane
31937;Kangsunwoo;Kangsunwoo
2392;Jonathan;Murray
23884;Karenharvey;Karenharvey
25727;Karsonmiller;Karsonmiller
4251;Kavasch;Kavasch
347940;Jorgezuluaga;Jorgezuluaga
25116;Jonathanwang;Jonathanwang
116939;Jonstewart;Jonstewart
18117;Jonhodge;Jonhodge
13179;Johncochrane;Johncochrane
12140;Johnbolton;Johnbolton
31640;Johncaven;Johncaven
15461;Johnbird;Johnbird
20224;Johnrae;Johnrae
12446;Juliabryant;Juliabryant
2704;Julian;Loewe
21428;Junehokim;Junehokim
664;Judith;Judith
2015;Kachuevskaya;Kachuevskaya
7670;Kabelac;"Kabel&#225;&#269;"
278735;Kamioka;Kamioka
5270;Kakabadze;Kakabadze
8892;Kakogawa;Kakogawa
2961;Katsurahama;Katsurahama
14594;Jindrasilhan;"Jindra&#353;ilh&#225;n"
3088;Jinxiuzhonghua;Jinxiuzhonghua
305661;Joejackson;Joejackson
22923;Kathrynblair;Kathrynblair
5271;Kaylamaya;Kaylamaya
21853;Kelseykay;Kelseykay
29764;Panneerselvam;Panneerselvam
21238;Panarea;Panarea
1038;Tuckia;Tuckia
10204;Turing;Turing
11593;Uchikawa;Uchikawa
2707;Ueferji;Ueferji
101955;Bennu;Bennu
6074;Bechtereva;Bechtereva
14702;Benclark;Benclark
11219;Benbohn;Benbohn
30350;Beltecas;Beltecas
1651;Behrens;Behrens
10684;Babkina;Babkina
277883;Basu;Basu
19776;Balears;Balears
24649;Balaklava;Balaklava
8678;Bal;"B&#228;l"
71885;Denning;Denning
20043;Ellenmacarthur;Ellenmacarthur
3022;Dobermann;Dobermann
106;Dione;Dione
33395;Dylanli;Dylanli
7449;Dollen;"D&#246;llen"
1046;Edwin;Edwin
3368;Duncombe;Duncombe
84884;Dorismcmillan;Dorismcmillan
571;Dulcinea;Dulcinea
16222;Donnanderson;Donnanderson
110289;Dufu;Dufu
99891;Donwells;Donwells
4966;Edolsen;Edolsen
10964;Degraaff;Degraaff
241363;Erdibalint;"&#201;rdib&#225;lint"
12910;Deliso;Deliso
198993;Epoigny;Epoigny
6433;Enya;Enya
11963;Ignace;Ignace
;"name=""J"">(100267)";JAXA
9861;Jahreiss;Jahreiss
6413;Iye;Iye
321405;Ingehorst;Ingehorst
12485;Jenniferharris;Jenniferharris
3328;Interposita;Interposita
10436;Janwillempel;Janwillempel
209552;Isaacroberts;Isaacroberts
332183;Jaroussky;Jaroussky
14834;Isaev;Isaev
14365;Jeanpaul;Jeanpaul
1409;Isko;Isko
30268;Jessezhang;Jessezhang
12690;Kochimiraikagaku;Kochimiraikagaku
13801;Kohlhase;Kohlhase
714;Ulula;Ulula
14515;Koichisato;Koichisato
2191;Uppsala;Uppsala
1929;Kollaa;Kollaa
129595;Vand;Vand
12170;Vanvollenhoven;Vanvollenhoven
7931;Kristianpedersen;Kristianpedersen
72876;Vauriot;Vauriot
104210;Leeupton;Leeupton
19263;Lavater;Lavater
10713;Limorenko;Limorenko
149115;Lauriecantillo;Lauriecantillo
22617;Vidphananu;Vidphananu
12093;Chrimatthews;Chrimatthews
7987;Walshkevin;Walshkevin
27739;Kimihiro;Kimihiro
22168;Weissflog;Weissflog
178151;Kulangsu;Kulangsu
8535;Pellesvanslos;"Pellesvansl&#246;s"
913;Otila;Otila
21699;Wolpert;Wolpert
25417;Coquillette;Coquillette
4597;Consolmagno;Consolmagno
4532;Copland;Copland
37596;Cotahuasi;Cotahuasi
2693;Yan'an;Yan'an
19443;Yanzhong;Yanzhong
175633;Yaoan;Yaoan
7097;Yatsuka;Yatsuka
5982;Polykletus;Polykletus
71556;Page;Page
192220;Oicles;Oicles
31087;Oirase;Oirase
8716;Ginestra;Ginestra
5910;Zatopek;"Z&#225;topek"
14877;Zauberflote;"Zauberfl&#246;te"
1523;Pieksamaki;"Pieks&#228;m&#228;ki"
4468;Pogrebetskij;Pogrebetskij
1830;Pogson;Pogson
19835;Zreda;Zreda
6751;van;Genderen
13734;Buklad;Buklad
9678;van;der
3620;Platonov;Platonov
29772;Portocarrero;Portocarrero
